,Shrt_Desc,Water_(g),Energ_Kcal,Protein_(g),Lipid_Tot_(g),Ash_(g),Carbohydrt_(g),Fiber_TD_(g),Sugar_Tot_(g),Calcium_(mg),Iron_(mg),Magnesium_(mg),Phosphorus_(mg),Potassium_(mg),Sodium_(mg),Zinc_(mg),Copper_mg),Manganese_(mg),Selenium_(µg),Vit_C_(mg),Thiamin_(mg),Riboflavin_(mg),Niacin_(mg),Panto_Acid_mg),Vit_B6_(mg),Folate_Tot_(µg),Folic_Acid_(µg),Food_Folate_(µg),Folate_DFE_(µg),Choline_Tot_ (mg),Vit_B12_(µg),Vit_A_IU,Vit_A_RAE,Retinol_(µg),Alpha_Carot_(µg),Beta_Carot_(µg),Beta_Crypt_(µg),Lycopene_(µg),Lut+Zea_ (µg),Vit_E_(mg),Vit_D_µg,Vit_D_IU,Vit_K_(µg),FA_Sat_(g),FA_Mono_(g),FA_Poly_(g),Cholestrl_(mg)
810,"BEEF,CHUCK FOR STEW,LN & FAT,ALL GRDS,RAW",72.51,128,21.75,4.48,1.11,0.16,0.0,0.0,13.0,2.12,21.0,213.0,367.0,80.0,5.43,0.088,0.014,24.2,0.0,0.08,0.17,5.003,0.665,0.567,3.0,0.0,3.0,3.0,71.8,2.3,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.17,0.1,4.0,1.5,1.86,2.32,0.3,64.0
811,"BEEF,CHUCK FOR STEW,LN & FAT,SEL,RAW",72.79,124,21.9,3.99,1.12,0.21,0.0,0.0,14.0,2.2,20.0,209.0,359.0,81.0,5.51,0.093,0.014,26.0,0.0,0.08,0.17,5.19,0.67,0.568,4.0,0.0,4.0,4.0,74.6,2.42,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,3.0,1.5,1.748,2.16,0.287,66.0
812,"BEEF,CHUCK FOR STEW,LN & FAT,CHOIC,RAW",72.32,130,21.64,4.81,1.11,0.12,0.0,0.0,13.0,2.09,21.0,217.0,373.0,79.0,5.41,0.084,0.014,23.6,0.0,0.08,0.17,4.887,0.66,0.568,3.0,0.0,3.0,3.0,69.1,2.27,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.18,0.1,4.0,1.5,1.988,2.51,0.31,63.0
813,"BEEF,CHK EYE CNTRY-STYLE RIBS,BNL,LN & FAT,0"" FAT,SEL,RAW",67.17,196,19.1,13.33,0.91,0.0,0.0,0.0,14.0,1.97,16.0,172.0,271.0,77.0,5.89,0.084,0.012,18.6,0.0,0.07,0.157,3.95,0.672,0.338,3.0,0.0,3.0,3.0,64.7,2.8,14.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.12,0.1,4.0,1.5,5.805,6.482,0.591,71.0
814,"BEEF,RIB EYE STK/RST,BONE-IN,LIP-ON,LN,1/8"" FAT,ALL GRDS,RAW",69.24,166,21.22,9.04,0.97,0.0,0.0,0.0,9.0,1.96,21.0,152.0,275.0,64.0,4.89,0.073,0.073,21.1,0.0,0.1,0.269,5.08,0.54,0.488,3.0,0.0,3.0,3.0,50.5,1.94,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,4.0,1.5,3.544,4.13,0.436,64.0
815,"BEEF,RIB EYE STEAK/RST,BONE-IN,LIP-ON,LN,1/8"" FAT,CHOIC,RAW",68.58,173,20.93,9.97,0.95,0.0,0.0,0.0,9.0,1.95,22.0,156.0,270.0,65.0,4.77,0.073,0.073,21.5,0.0,0.1,0.278,4.907,0.52,0.467,3.0,0.0,3.0,3.0,51.5,1.93,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.16,0.1,4.0,1.5,3.88,4.531,0.464,65.0
816,"BEEF,RIB EYE STEAK/ROAST,BONE-IN,LIP-ON,LN,1/8"" FAT,SEL,RAW",70.21,155,21.65,7.64,1.0,0.0,0.0,0.0,10.0,1.99,21.0,148.0,281.0,63.0,5.07,0.072,0.072,20.5,0.0,0.1,0.255,5.34,0.56,0.521,3.0,0.0,3.0,3.0,49.4,1.96,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1,2.0,1.5,3.039,3.528,0.393,62.0
817,"BEEF,RIB EYE STK/RST,BNLESS,LIP-ON,LN,1/8"" FAT,ALL GRDS,RAW",70.14,156,21.99,7.54,1.01,0.0,0.0,0.0,6.0,1.94,23.0,156.0,276.0,56.0,5.67,0.076,0.075,27.3,0.0,0.115,0.271,5.555,0.53,0.467,4.0,0.0,4.0,4.0,48.7,1.87,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,3.0,1.5,2.759,3.277,0.439,66.0
818,"BEEF,RIB EYE STEAK/ROAST,BNLESS,LIP-ON,LN,1/8"" FAT,CHOIC,RAW",69.65,161,21.62,8.29,0.99,0.0,0.0,0.0,7.0,2.04,22.0,153.0,262.0,56.0,5.63,0.071,0.071,27.5,0.0,0.13,0.278,5.538,0.53,0.479,3.0,0.0,3.0,3.0,47.9,1.96,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.18,0.1,3.0,1.5,3.057,3.576,0.467,63.0
819,"BEEF,RIB EYE STEAK/ROAST,BNLESS,LIP-ON,LN,1/8"" FAT,SEL,RAW",70.89,148,22.55,6.41,1.03,0.0,0.0,0.0,5.0,1.8,23.0,160.0,297.0,55.0,5.72,0.084,0.082,27.0,0.0,0.1,0.26,5.58,0.53,0.449,4.0,0.0,4.0,4.0,49.4,1.75,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,1.5,2.313,2.83,0.396,70.0
820,"BEEF,RIB EYE STK,BNE-IN,LIP-ON,LN,1/8"" FAT,ALL GRDS,CKD,GRLD",59.69,221,27.4,12.43,1.09,0.0,0.0,0.0,22.0,2.62,25.0,184.0,279.0,67.0,6.0,0.081,0.081,28.2,0.0,0.105,0.334,5.683,0.625,0.547,7.0,0.0,7.0,7.0,57.1,2.22,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1,4.0,1.6,4.794,5.628,0.594,80.0
821,"BEEF,RIB EYE STEAK,BONE-IN,LIP-ON,LN,1/8"" FAT,CHOIC,CKD,GRLD",59.13,229,27.03,13.44,1.04,0.0,0.0,0.0,22.0,2.61,25.0,184.0,276.0,67.0,6.0,0.083,0.083,28.3,0.0,0.1,0.337,5.675,0.64,0.53,7.0,0.0,7.0,7.0,57.5,2.21,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,4.0,1.6,4.897,5.828,0.607,82.0
822,"BEEF,RIB EYE STEAK,BONE-IN,LIP-ON,LN,1/8"" FAT,SEL,CKD,GRILD",60.51,210,27.96,10.91,1.15,0.0,0.0,0.0,22.0,2.63,25.0,185.0,284.0,67.0,6.01,0.078,0.078,28.0,0.0,0.11,0.33,5.695,0.61,0.573,7.0,0.0,7.0,7.0,56.6,2.23,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06,0.1,3.0,1.6,4.639,5.327,0.573,78.0
823,"BEEF,RIB EYE STEAK,BNLESS,LIP OFF,LN,0"" FAT,ALL GRDS,RAW",69.93,154,21.85,7.41,0.98,0.0,0.0,0.0,6.0,1.94,23.0,156.0,276.0,56.0,5.67,0.076,0.075,27.3,0.0,0.115,0.271,5.555,0.53,0.467,4.0,0.0,4.0,4.0,48.7,1.87,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,3.0,1.5,2.759,3.277,0.439,66.0
824,"BEEF,RIB EYE STEAK,BNLESS,LIP OFF,LN,0"" FAT,CHOIC,RAW",69.22,162,21.44,8.5,0.97,0.0,0.0,0.0,7.0,2.04,22.0,153.0,262.0,56.0,5.63,0.071,0.071,27.5,0.0,0.13,0.278,5.538,0.53,0.479,3.0,0.0,3.0,3.0,47.9,1.96,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.18,0.1,4.0,1.5,3.057,3.576,0.467,63.0
825,"BEEF,RIB EYE STEAK,BNLESS,LIP OFF,LN,0"" FAT,SEL,RAW",71.0,142,22.46,5.78,1.0,0.0,0.0,0.0,5.0,1.8,23.0,160.0,297.0,55.0,5.72,0.084,0.082,27.0,0.0,0.1,0.26,5.58,0.53,0.449,4.0,0.0,4.0,4.0,49.4,1.75,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,3.0,1.5,2.313,2.83,0.396,70.0
826,"BEEF,RIB EYE STK,BNLS,LIP-ON,LN & FAT,1/8"" FAT,SEL,CKD,GILD",55.98,273,24.83,19.25,0.93,0.0,0.0,0.0,10.0,2.12,23.0,157.0,279.0,54.0,6.03,0.085,0.085,33.2,0.0,0.071,0.275,5.27,0.544,0.534,6.0,0.0,6.0,6.0,48.8,2.06,26.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.08,0.1,6.0,1.6,8.749,9.426,0.981,79.0
827,"BEEF,RIB EYE STK/RST,BNLS,LIP-ON,LN & FAT,1/8"" FAT,AL GRD,RW",61.77,244,18.85,18.73,0.89,0.0,0.0,0.0,8.0,1.74,19.0,132.0,236.0,50.0,4.78,0.067,0.067,23.3,0.0,0.097,0.239,4.681,0.477,0.398,3.0,0.0,3.0,3.0,42.1,1.7,15.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.14,0.1,6.0,1.5,8.251,8.83,0.889,70.0
828,"BEEF,RIB EYE STEAK/ROST,BNLS,LIP-ON,LN & FAT,1/8"" FAT,CHC,RW",60.9,253,18.39,19.95,0.87,0.0,0.0,0.0,8.0,1.81,19.0,128.0,224.0,50.0,4.71,0.063,0.063,23.3,0.0,0.107,0.244,4.629,0.474,0.404,3.0,0.0,3.0,3.0,41.1,1.75,15.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.17,0.2,6.0,1.5,8.741,9.322,0.932,68.0
829,"BEEF,RIB EYE STEAK/ROST,BNLS,LIP-ON,LN & FAT,1/8"" FAT,SEL,RW",63.08,230,19.55,16.9,0.91,0.0,0.0,0.0,7.0,1.64,20.0,137.0,256.0,50.0,4.88,0.074,0.072,23.2,0.0,0.086,0.233,4.759,0.48,0.388,3.0,0.0,3.0,3.0,43.1,1.61,16.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,5.0,1.5,7.515,8.092,0.825,74.0
830,"BEEF,PLATE STEK,BNLS,INSDE SKRT,LN & FAT,0"" FAT,ALL GRDS,RW",67.25,187,20.38,11.71,0.92,0.0,0.0,0.0,6.0,1.71,20.0,145.0,262.0,64.0,5.99,0.085,0.085,22.2,0.0,0.055,0.289,5.241,0.594,0.421,3.0,0.0,3.0,3.0,44.4,2.31,13.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,4.0,1.5,4.626,5.431,0.548,65.0
831,"BEEF,PLATE STEAK,BNLESS,INSIDE SKIRT,LN & FAT,0"" FAT,CHOC,RW",66.55,195,20.06,12.78,0.91,0.0,0.0,0.0,6.0,1.7,20.0,144.0,254.0,65.0,5.97,0.084,0.084,23.1,0.0,0.053,0.275,5.076,0.621,0.422,3.0,0.0,3.0,3.0,45.7,2.46,13.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.17,0.1,4.0,1.5,5.034,6.01,0.596,65.0
832,"BEEF,RND,TOP RND STEAK,BNLESS,LN & FAT,0"" FAT,ALL GRDS,RAW",72.64,124,23.49,3.34,1.12,0.0,0.0,0.0,13.0,2.33,12.0,219.0,312.0,54.0,3.68,0.048,0.004,22.1,0.0,0.064,0.235,6.433,0.357,0.632,4.0,0.0,4.0,4.0,64.6,1.64,11.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,1.0,1.5,1.287,1.481,0.238,62.0
833,"BEEF,RND,TOP RND STEAK,BNLESS,LN & FAT,0"" FAT,CHOIC,RAW",72.35,127,23.49,3.66,1.12,0.0,0.0,0.0,13.0,2.35,12.0,220.0,307.0,56.0,3.76,0.048,0.004,21.8,0.0,0.064,0.225,6.635,0.349,0.639,4.0,0.0,4.0,4.0,65.1,1.65,11.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,1.0,1.5,1.424,1.678,0.247,62.0
834,"BEEF,RND,TOP RND STEAK,BNLESS,LN & FAT,0"" FAT,SEL,RAW",73.08,120,23.49,2.85,1.12,0.0,0.0,0.0,13.0,2.34,12.0,219.0,314.0,54.0,3.52,0.047,0.003,22.6,0.0,0.064,0.249,6.13,0.369,0.623,4.0,0.0,4.0,4.0,63.9,1.62,11.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,1.0,1.5,1.082,1.185,0.225,63.0
835,"BEEF,RND,TOP RND RST,BNLESS,LN & FAT,0"" FAT,ALL GRDS,RAW",72.51,125,23.45,3.5,1.11,0.0,0.0,0.0,13.0,2.33,12.0,219.0,311.0,54.0,3.67,0.048,0.004,22.1,0.0,0.063,0.234,6.422,0.356,0.631,4.0,0.0,4.0,4.0,64.5,1.64,11.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,1.0,1.5,1.353,1.554,0.244,62.0
836,"BEEF,RND,TOP RND RST,BNLESS,LN & FAT,0"" FAT,CHOIC,RAW",72.24,128,23.46,3.81,1.12,0.0,0.0,0.0,13.0,2.35,12.0,219.0,306.0,56.0,3.75,0.048,0.004,21.8,0.0,0.064,0.225,6.624,0.349,0.638,4.0,0.0,4.0,4.0,65.0,1.65,11.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,1.0,1.5,1.488,1.748,0.253,62.0
837,"BEEF,RND,TOP RND RST,BNLESS,LN & FAT,0"" FAT,SEL,RAW",72.93,121,23.44,3.04,1.11,0.0,0.0,0.0,13.0,2.34,12.0,218.0,313.0,54.0,3.52,0.047,0.003,22.6,0.0,0.063,0.248,6.12,0.368,0.622,4.0,0.0,4.0,4.0,63.8,1.62,12.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,1.0,1.5,1.151,1.262,0.231,63.0
838,"BEEF,RND,EYE OF RND RST,BNLESS,LN & FAT,0"" FAT,ALL GRDS,RAW",73.09,124,23.27,3.44,1.09,0.0,0.0,0.0,13.0,1.45,12.0,221.0,317.0,53.0,3.4,0.042,0.001,22.4,0.0,0.063,0.183,6.687,0.354,0.641,4.0,0.0,4.0,4.0,64.0,1.83,11.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,1.0,1.5,1.276,1.482,0.25,60.0
839,"BEEF,RND,EYE OF RND RST,BNLESS,LN & FAT,0"" FAT,CHOIC,RAW",72.88,127,23.26,3.74,1.1,0.0,0.0,0.0,13.0,1.47,12.0,220.0,323.0,52.0,3.41,0.049,0.001,22.7,0.0,0.063,0.183,6.779,0.346,0.645,4.0,0.0,4.0,4.0,64.5,1.68,11.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,1.5,1.308,1.547,0.263,58.0
840,"BEEF,RND,EYE OF RND RST,BNLESS,LN & FAT,0"" FAT,SEL,RAW",73.4,120,23.28,3.0,1.08,0.0,0.0,0.0,13.0,1.37,11.0,221.0,309.0,50.0,3.36,0.035,0.002,22.1,0.0,0.063,0.184,6.548,0.366,0.634,4.0,0.0,4.0,4.0,63.3,2.06,17.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,1.0,1.5,1.229,1.383,0.231,62.0
841,"BEEF,RND,EYE OF RND STEAK,BNLESS,LN & FT,0"" FAT,ALL GRDS,RAW",73.07,124,23.26,3.48,1.09,0.0,0.0,0.0,13.0,1.45,12.0,220.0,317.0,53.0,3.39,0.042,0.001,22.4,0.0,0.063,0.183,6.685,0.354,0.641,4.0,0.0,4.0,4.0,64.0,1.83,11.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,1.0,1.5,1.285,1.49,0.251,60.0
842,"BEEF,RND,EYE OF RND STEAK,BNLESS LN & FAT,0"" FAT,CHOIC,RAW",72.81,127,23.24,3.83,1.1,0.0,0.0,0.0,13.0,1.47,12.0,220.0,322.0,52.0,3.41,0.049,0.001,22.6,0.0,0.063,0.182,6.773,0.345,0.645,4.0,0.0,4.0,4.0,64.4,1.68,11.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,1.5,1.343,1.585,0.266,58.0
843,"BEEF,RND,EYE OF RND STEAK,BNLESS,LN & FAT,0"" FAT,SEL,RAW",73.46,120,23.3,2.95,1.08,0.0,0.0,0.0,13.0,1.37,11.0,221.0,310.0,50.0,3.36,0.035,0.002,22.1,0.0,0.063,0.184,6.552,0.366,0.635,4.0,0.0,4.0,4.0,63.4,2.06,17.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,1.0,1.5,1.199,1.346,0.228,62.0
844,"BEEF,LOIN,TOP LOIN STK,BNLS,LIP OFF,LN & FAT,0"" FT,ALLGRD,RW",68.75,163,22.43,8.17,1.0,0.0,0.0,0.0,15.0,1.83,11.0,200.0,273.0,45.0,3.57,0.043,0.002,20.8,0.0,0.055,0.203,6.515,0.373,0.563,4.0,0.0,4.0,4.0,58.0,1.74,13.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.22,0.1,3.0,1.5,3.478,3.941,0.48,61.0
845,"BEEF,LOIN,TOP LOIN STK,BNLS,LIP OFF,LN & FAT,0"" FT,CHOIC,RAW",67.82,171,22.19,9.16,0.98,0.0,0.0,0.0,15.0,1.91,11.0,198.0,271.0,45.0,3.62,0.041,0.002,20.2,0.0,0.052,0.197,6.681,0.361,0.57,4.0,0.0,4.0,4.0,56.0,1.67,13.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.24,0.1,3.0,1.5,3.79,4.328,0.505,59.0
846,"BEEF,LOIN,TOP LOIN STEAK,BNLS,LIP OFF,LN & FAT,0"" FAT,SEL,RW",70.15,151,22.79,6.67,1.02,0.0,0.0,0.0,14.0,1.73,12.0,204.0,279.0,46.0,3.52,0.044,0.002,21.4,0.0,0.059,0.213,6.267,0.391,0.552,4.0,0.0,4.0,4.0,61.0,1.85,13.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,2.0,1.5,2.91,3.25,0.42,63.0
847,"BEEF,RND,TOP RND RST,BNLS,LN&FAT,0"" FAT,ALLGRD,CKD,RSTD",64.56,160,29.9,4.49,1.24,0.0,0.0,0.0,16.0,2.88,15.0,270.0,384.0,67.0,4.54,0.059,0.005,27.2,0.0,0.078,0.289,7.929,0.44,0.779,5.0,0.0,5.0,5.0,79.7,2.02,14.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,1.0,1.9,1.671,1.918,0.301,77.0
848,"BEEF,RND,TOP RND RST,BNLESS,LN & FAT,0"" FAT,CHOIC,CKD,RSTD",63.99,163,30.08,4.79,1.21,0.0,0.0,0.0,16.0,2.9,15.0,271.0,378.0,69.0,4.63,0.059,0.005,26.9,0.0,0.078,0.278,8.178,0.43,0.787,5.0,0.0,5.0,5.0,80.3,2.04,13.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,1.0,1.6,1.837,2.158,0.312,76.0
849,"BEEF,RND,TOP RND RST,BNLESS,LN & FAT,0"" FAT,SEL,CKD,RSTD",65.14,157,30.97,3.72,1.27,0.0,0.0,0.0,17.0,2.88,15.0,269.0,387.0,67.0,4.34,0.058,0.003,27.8,0.0,0.078,0.306,7.555,0.455,0.768,5.0,0.0,5.0,5.0,78.7,2.0,14.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,1.0,1.9,1.421,1.558,0.285,78.0
850,"BEEF,RND,TOP RND STEAK,BNLESS,LN,0"" FAT,ALL GRDS,RAW",72.96,121,23.59,2.94,1.12,0.0,0.0,0.0,13.0,2.34,12.0,220.0,313.0,54.0,3.7,0.048,0.004,22.2,0.0,0.064,0.236,6.462,0.358,0.635,4.0,0.0,4.0,4.0,64.8,1.64,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,1.0,1.5,1.12,1.292,0.223,62.0
851,"BEEF,RND,TOP RND STEAK,BNLESS,LN,0"" FAT,CHOIC,RAW",72.66,124,23.59,3.26,1.12,0.0,0.0,0.0,13.0,2.35,12.0,221.0,309.0,56.0,3.78,0.048,0.004,21.9,0.0,0.064,0.227,6.667,0.35,0.641,4.0,0.0,4.0,4.0,65.4,1.66,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,1.0,1.5,1.253,1.484,0.232,61.0
852,"BEEF,RND,TOP RND STEAK,BNLESS,LN,0"" FAT,SEL,RAW",73.4,116,23.59,2.45,1.12,0.0,0.0,0.0,13.0,2.34,12.0,220.0,316.0,55.0,3.54,0.047,0.003,22.7,0.0,0.064,0.25,6.155,0.37,0.626,4.0,0.0,4.0,4.0,64.1,1.63,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,1.0,1.5,0.92,1.003,0.21,63.0
853,"BEEF,RND,TOP RND RST,BNLESS,LN,0"" FAT,ALL GRDS,RAW",72.96,121,23.59,2.94,1.12,0.0,0.0,0.0,13.0,2.34,12.0,220.0,313.0,54.0,3.7,0.048,0.004,22.2,0.0,0.064,0.236,6.462,0.358,0.635,4.0,0.0,4.0,4.0,64.8,1.64,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,1.0,1.5,1.12,1.292,0.223,62.0
854,"BEEF,RND,TOP RND RST,BNLESS,LN,0"" FAT,CHOIC,RAW",72.66,124,23.59,3.26,1.12,0.0,0.0,0.0,13.0,2.35,12.0,221.0,309.0,56.0,3.78,0.048,0.004,21.9,0.0,0.064,0.227,6.667,0.35,0.641,4.0,0.0,4.0,4.0,65.4,1.66,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,1.0,1.6,1.253,1.484,0.232,61.0
855,"BEEF,RND,TOP RND RST,BNLESS,LN,0"" FAT,SEL,RAW",73.4,116,23.59,2.45,1.12,0.0,0.0,0.0,13.0,2.34,12.0,220.0,316.0,55.0,3.54,0.047,0.003,22.7,0.0,0.064,0.25,6.155,0.37,0.626,4.0,0.0,4.0,4.0,64.1,1.63,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,1.0,1.5,0.92,1.003,0.21,63.0
856,"BEEF,RND,EYE OF RND RST,BNLESS,LN,0"" FAT,ALL GRDS,RAW",73.43,121,23.37,3.04,1.1,0.0,0.0,0.0,13.0,1.45,12.0,222.0,319.0,53.0,3.42,0.042,0.001,22.6,0.0,0.063,0.184,6.72,0.355,0.644,4.0,0.0,4.0,4.0,64.2,1.84,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,1.0,1.5,1.086,1.266,0.233,60.0
857,"BEEF,RND,EYE OF RND RST,BNLESS,LN,0"" FAT,CHOIC,RAW",73.18,124,23.35,3.38,1.1,0.0,0.0,0.0,13.0,1.47,12.0,221.0,324.0,52.0,3.43,0.049,0.001,22.8,0.0,0.063,0.183,6.81,0.354,0.648,4.0,0.0,4.0,4.0,64.2,1.68,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,1.0,1.5,1.137,1.353,0.248,58.0
858,"BEEF,RND,EYE OF RND RST,BNLESS,LN,0"" FAT,SEL,RAW",73.81,116,23.41,2.52,1.09,0.0,0.0,0.0,13.0,1.37,11.0,222.0,312.0,50.0,3.38,0.035,0.002,22.2,0.0,0.064,0.185,6.585,0.367,0.637,4.0,0.0,4.0,4.0,63.6,2.07,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,1.0,1.6,1.011,1.136,0.211,62.0
859,"BEEF,RND,EYE OF RND STEAK,BNLESS,LN,0"" FAT,ALL GRDS,RAW",73.43,121,23.37,3.04,1.1,0.0,0.0,0.0,13.0,1.45,12.0,222.0,319.0,53.0,3.42,0.042,0.001,22.6,0.0,0.063,0.184,6.72,0.355,0.644,4.0,0.0,4.0,4.0,64.2,1.84,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,1.0,1.5,1.086,1.266,0.233,60.0
860,"BEEF,RND,EYE OF RND STEAK,BNLESS,LN,0"" FAT,CHOIC,RAW",73.18,124,23.35,3.38,1.1,0.0,0.0,0.0,13.0,1.47,12.0,221.0,324.0,52.0,3.43,0.049,0.001,22.8,0.0,0.063,0.183,6.81,0.346,0.648,4.0,0.0,4.0,4.0,64.7,1.68,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,1.0,1.5,1.137,1.353,0.248,58.0
861,"BEEF,RND,EYE OF RND STEAK,BNLESS,LN,0"" FAT,SEL,RAW",73.81,116,23.41,2.52,1.09,0.0,0.0,0.0,13.0,1.37,11.0,222.0,312.0,50.0,3.38,0.035,0.002,22.2,0.0,0.064,0.185,6.585,0.367,0.637,4.0,0.0,4.0,4.0,63.6,2.07,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,1.0,1.5,1.011,1.136,0.211,62.0
862,"BEEF,LOIN,TOP LOIN STK,BNLS,LIP OFF,LN,0"" FAT,ALL GRDS,RAW",70.63,143,23.07,5.67,1.02,0.0,0.0,0.0,15.0,1.84,12.0,207.0,284.0,46.0,3.72,0.044,0.002,21.5,0.0,0.056,0.211,6.742,0.372,0.578,4.0,0.0,4.0,4.0,58.3,1.78,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.22,0.1,2.0,1.5,2.345,2.711,0.381,60.0
863,"BEEF,LOIN,TOP LOIN STEAK,BNLESS,LIP OFF,LN,0"" FAT,CHOIC,RAW",69.94,149,22.93,6.34,1.01,0.0,0.0,0.0,15.0,1.93,11.0,205.0,283.0,46.0,3.79,0.042,0.002,21.0,0.0,0.053,0.205,6.947,0.36,0.589,4.0,0.0,4.0,4.0,56.3,1.71,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.24,0.1,3.0,1.5,2.515,2.948,0.393,58.0
864,"BEEF,LOIN,TOP LOIN STEAK,BNLESS,LIP OFF,LN,0"" FAT,SEL,RAW",71.68,135,23.3,4.66,1.04,0.0,0.0,0.0,14.0,1.73,12.0,210.0,288.0,47.0,3.64,0.045,0.002,22.0,0.0,0.06,0.22,6.435,0.39,0.563,4.0,0.0,4.0,4.0,61.3,1.88,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,2.0,1.5,1.824,2.055,0.317,62.0
865,"BEEF,RND,TOP RND RST,BNLESS,LN,0"" FAT,ALL GRDS,CKD,RSTD",64.96,162,30.09,3.77,1.29,0.0,0.0,0.0,16.0,2.89,15.0,272.0,387.0,67.0,4.57,0.059,0.005,27.4,0.0,0.079,0.291,7.978,0.442,0.784,5.0,0.0,5.0,5.0,80.1,2.03,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,1.0,1.9,1.383,1.594,0.275,77.0
866,"BEEF,RND,TOP RND RST,BNLESS,LN,0"" FAT,CHOIC,CKD,RSTD",64.37,158,30.24,4.11,1.22,0.06,0.0,0.0,16.0,2.91,15.0,272.0,381.0,69.0,4.67,0.059,0.005,27.0,0.0,0.079,0.28,8.23,0.432,0.792,5.0,0.0,5.0,5.0,80.7,2.05,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,2.0,1.9,1.547,1.832,0.286,76.0
